case_id,order_true,damping_true,morphology_real,morphology_imag,frequency_1,frequency_2,frequency_3,frequency_ratio,gain_real,gain_imag,raw_order_abs_error,raw_damping_abs_error,raw_morphology_abs_error,gained_order_abs_error,gained_damping_abs_error,gained_morphology_abs_error,common_gain_order_difference,common_gain_damping_difference,positive_consistent,positive_order_spread,positive_damping_spread,geometric_cross_ratio_abs_error,tamper_consistency_outcome,tamper_detected,tampered_cross_ratio_deviation
389,0.33499999999999996,1,2,-1.5,2.5,4.375,7.65625,1.75,0.71650236684420454,-0.22164015499600465,3.3306690738754696e-15,4.4408920985006262e-16,9.0167608953737111e-15,3.3306690738754696e-15,4.4408920985006262e-16,6.8402713718770882e-15,0,8.8817841970012523e-16,true,0,6.2172489379008766e-15,4.3930861483922341e-15,INCONSISTENT,true,0.047388796672493093
390,0.33499999999999996,1,0.40000000000000002,0.69999999999999996,0.34999999999999998,1.0499999999999998,3.1499999999999999,3,1.1339903035639434,2.2280184001535885,3.3306690738754696e-15,1.8873791418627661e-15,3.0847422370805075e-15,3.3306690738754696e-15,3.7747582837255322e-15,9.8603806502837258e-15,0,1.8873791418627661e-15,true,0,2.55351295663786e-15,2.4741064946499714e-16,INCONSISTENT,true,0.072097336172366994
391,0.33499999999999996,1,-1.2,0.29999999999999999,1,3,9,3,-7.2325771361364897,3.4190390418706382,3.3306690738754696e-15,2.2204460492503131e-16,3.3380623550567164e-15,3.3306690738754696e-15,3.3306690738754696e-15,3.6458615241084034e-14,0,3.1086244689504383e-15,true,0,2.6645352591003757e-15,1.7763568394002505e-15,INCONSISTENT,true,0.061755484950462299
392,0.33499999999999996,1,2,-1.5,2.5,7.5,22.5,3,-0.1474787431082491,-0.1350926361102302,3.3306690738754696e-15,5.773159728050814e-15,1.1102230246251565e-14,3.3306690738754696e-15,2.6645352591003757e-15,1.9361876553551709e-15,0,3.1086244689504383e-15,true,0,1.3322676295501878e-15,1.3322676295501878e-15,INCONSISTENT,true,0.052515980816121757
393,0.33499999999999996,1,0.40000000000000002,0.69999999999999996,0.34999999999999998,2.0999999999999996,12.6,6,0.71650236684420454,-0.22164015499600465,3.3306690738754696e-15,0,2.1868857395626282e-15,3.3306690738754696e-15,1.2212453270876722e-15,1.9523832989275485e-15,0,1.2212453270876722e-15,true,0,3.1086244689504383e-15,2.6763242979343138e-16,INCONSISTENT,true,0.083234204110188281
394,0.33499999999999996,1,-1.2,0.29999999999999999,1,6,36,6,1.1339903035639434,2.2280184001535885,3.3306690738754696e-15,4.4408920985006262e-15,3.0867394805640034e-15,3.3306690738754696e-15,5.3290705182007514e-15,8.4493734633108481e-15,0,8.8817841970012523e-16,true,0,2.2204460492503131e-15,2.1410417570687608e-15,INCONSISTENT,true,0.071294848217435758
395,0.33499999999999996,1,2,-1.5,2.5,15,90,6,-7.2325771361364897,3.4190390418706382,3.3306690738754696e-15,5.5511151231257827e-15,1.1104450470300608e-14,3.3306690738754696e-15,3.5527136788005009e-15,7.7592437960453094e-14,0,1.9984014443252818e-15,true,0,4.2188474935755949e-15,9.5204060973793811e-16,INCONSISTENT,true,0.060628118850962698
396,0.33499999999999996,10,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.4375,0.546875,1.25,-0.1474787431082491,-0.1350926361102302,2.5091040356528538e-14,1.2452261444195756e-12,9.2297217788520216e-14,3.1752378504279477e-14,3.5171865420124959e-13,4.7526104813853096e-15,5.6843418860808015e-14,1.5969447986208252e-12,true,0,5.7553961596568115e-13,6.0588672212344414e-14,INCONSISTENT,true,0.093468994854551762
397,0.33499999999999996,10,-1.2,0.29999999999999999,1,1.25,1.5625,1.25,0.71650236684420454,-0.22164015499600465,2.5091040356528538e-14,4.2632564145606011e-14,4.8202094196297753e-15,3.1752378504279477e-14,5.7553961596568115e-13,4.7027479984991229e-14,5.6843418860808015e-14,6.1817218011128716e-13,true,0,5.3290705182007514e-15,1.0753284452721709e-14,INCONSISTENT,true,0.09131739244097635
398,0.33499999999999996,10,2,-1.5,2.5,3.125,3.90625,1.25,1.1339903035639434,2.2280184001535885,2.5091040356528538e-14,6.5902838741749292e-13,1.4796236775662294e-13,3.3306690738754696e-15,5.3290705182007514e-15,6.7641653219609209e-15,2.8421709430404007e-14,6.5369931689929217e-13,true,2.8421709430404007e-14,1.0249578963339445e-12,6.8936721853726966e-14,INCONSISTENT,true,0.088822515359759491
399,0.33499999999999996,10,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.61249999999999993,1.0718749999999999,1.75,-7.2325771361364897,3.4190390418706382,2.5091040356528538e-14,1.723066134218243e-13,1.0849696755617591e-14,2.5091040356528538e-14,5.1514348342607263e-14,4.9977303260140286e-14,0,2.2382096176443156e-13,true,0,6.9277916736609768e-14,2.4701554010041744e-14,INCONSISTENT,true,0.099253511750761247
400,0.33499999999999996,10,-1.2,0.29999999999999999,1,1.75,3.0625,1.75,-0.1474787431082491,-0.1350926361102302,2.5091040356528538e-14,1.8474111129762605e-13,1.9168314807471478e-14,2.5091040356528538e-14,3.5704772471945034e-13,7.7260774456601196e-15,0,1.723066134218243e-13,true,0,4.6185277824406512e-14,6.6613381477509392e-15,INCONSISTENT,true,0.096968753090791712
401,0.33499999999999996,10,2,-1.5,2.5,4.375,7.65625,1.75,0.71650236684420454,-0.22164015499600465,3.3306690738754696e-15,1.971756091734278e-13,4.3837363845525214e-14,3.3306690738754696e-15,6.2172489379008766e-14,1.0235750533041807e-14,0,1.3500311979441904e-13,true,0,9.2370555648813024e-14,1.0633942680418798e-14,INCONSISTENT,true,0.094319475519224247
402,0.33499999999999996,10,0.40000000000000002,0.69999999999999996,0.34999999999999998,1.0499999999999998,3.1499999999999999,3,1.1339903035639434,2.2280184001535885,2.5091040356528538e-14,3.0198066269804258e-14,1.1430445635548515e-15,2.5091040356528538e-14,3.5527136788005009e-15,6.9723420228962417e-15,0,3.3750779948604759e-14,true,0,1.1901590823981678e-13,4.9617872041634014e-15,INCONSISTENT,true,0.10999214761791863
403,0.33499999999999996,10,-1.2,0.29999999999999999,1,3,9,3,-7.2325771361364897,3.4190390418706382,2.5091040356528538e-14,2.5934809855243657e-13,2.7618680589300172e-14,2.5091040356528538e-14,2.7711166694643907e-13,2.3452788025421424e-13,0,1.7763568394002505e-14,true,0,8.7041485130612273e-14,1.3980414309446985e-14,INCONSISTENT,true,0.10746019174687331
404,0.33499999999999996,10,2,-1.5,2.5,7.5,22.5,3,-0.1474787431082491,-0.1350926361102302,3.3306690738754696e-15,1.1013412404281553e-13,2.4781610414066267e-14,2.5091040356528538e-14,4.9382720135326963e-13,2.2161407369400927e-14,2.8421709430404007e-14,6.0396132539608516e-13,true,0,1.4210854715202004e-14,4.4260580257647955e-15,INCONSISTENT,true,0.10452427819990451
405,0.33499999999999996,10,0.40000000000000002,0.69999999999999996,0.34999999999999998,2.0999999999999996,12.6,6,0.71650236684420454,-0.22164015499600465,2.5091040356528538e-14,6.3948846218409017e-14,2.8026260337742e-15,2.5091040356528538e-14,6.0396132539608516e-14,1.8452761694870047e-15,0,3.5527136788005009e-15,true,0,3.0375701953744283e-13,3.9044443361813855e-15,INCONSISTENT,true,0.12698262309526173
406,0.33499999999999996,10,-1.2,0.29999999999999999,1,6,36,6,1.1339903035639434,2.2280184001535885,3.3306690738754696e-15,7.9936057773011271e-14,8.671119018262734e-15,2.5091040356528538e-14,2.8421709430404007e-13,7.6207571698861317e-14,2.8421709430404007e-14,3.6415315207705135e-13,true,2.8421709430404007e-14,6.8034466949029593e-13,3.9238309977216801e-15,INCONSISTENT,true,0.12405955626702937
407,0.33499999999999996,10,2,-1.5,2.5,15,90,6,-7.2325771361364897,3.4190390418706382,3.3306690738754696e-15,9.5923269327613525e-14,2.1683198553528097e-14,3.3306690738754696e-15,6.7501559897209518e-14,1.2033424606585149e-13,0,2.8421709430404007e-14,true,0,1.0658141036401503e-14,3.8741233081680529e-15,INCONSISTENT,true,0.12067013246317748
408,0.33499999999999996,100,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.4375,0.546875,1.25,-0.1474787431082491,-0.1350926361102302,8.1934459217336553e-14,8.1143980423803441e-12,6.4364048794022763e-14,8.8595797365087492e-14,3.3423930290155113e-11,5.3359948395052349e-14,1.7053025658242404e-13,4.1538328332535457e-11,true,0,9.7770680440589786e-12,1.6464699528761187e-13,INCONSISTENT,true,0.098363762165770419
409,0.33499999999999996,100,-1.2,0.29999999999999999,1,1.25,1.5625,1.25,0.71650236684420454,-0.22164015499600465,2.5091040356528538e-14,6.1959326558280736e-12,7.6193842624883447e-14,8.1934459217336553e-14,1.0814460438268725e-11,9.9960340526265783e-14,5.6843418860808015e-14,4.6185277824406512e-12,true,0,8.2565065895323642e-12,2.3453184709974793e-13,INCONSISTENT,true,0.098124983901733742
410,0.33499999999999996,100,2,-1.5,2.5,3.125,3.90625,1.25,1.1339903035639434,2.2280184001535885,3.1752378504279477e-14,2.7938540370087139e-11,6.8985367321261894e-13,1.3877787807814457e-13,7.4933836913260166e-11,4.6292275886049007e-12,1.7053025658242404e-13,1.028723772833473e-10,true,5.6843418860808015e-14,3.9619862945983186e-11,4.730016461714485e-13,INCONSISTENT,true,0.097836941631685576
411,0.33499999999999996,100,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.61249999999999993,1.0718749999999999,1.75,-7.2325771361364897,3.4190390418706382,3.1752378504279477e-14,1.5447199075424578e-11,1.2344022575250475e-13,3.1752378504279477e-14,1.1951328815484885e-11,7.6353710882778301e-13,0,3.4958702599396929e-12,true,5.6843418860808015e-14,1.1070255823142361e-11,1.5498199191376903e-13,INCONSISTENT,true,0.10445120159021241
412,0.33499999999999996,100,-1.2,0.29999999999999999,1,1.75,3.0625,1.75,-0.1474787431082491,-0.1350926361102302,3.1752378504279477e-14,2.241051788587356e-11,2.7439939176262767e-13,3.1752378504279477e-14,2.5707436179800425e-11,6.2984226445145295e-14,0,3.2969182939268649e-12,true,0,1.0501821634534281e-11,1.3811853557607138e-13,INCONSISTENT,true,0.10419764605291416
413,0.33499999999999996,100,2,-1.5,2.5,4.375,7.65625,1.75,0.71650236684420454,-0.22164015499600465,3.1752378504279477e-14,1.5546675058430992e-11,3.8369410529335911e-13,3.1752378504279477e-14,1.6001422409317456e-11,2.9617154753837636e-13,0,4.5474735088646412e-13,true,5.6843418860808015e-14,1.9426238395681139e-11,1.173304258022533e-13,INCONSISTENT,true,0.10389177770704687
414,0.33499999999999996,100,0.40000000000000002,0.69999999999999996,0.34999999999999998,1.0499999999999998,3.1499999999999999,3,1.1339903035639434,2.2280184001535885,3.3306690738754696e-15,5.6132876125047915e-12,4.4837377783946857e-14,3.1752378504279477e-14,1.5475620784854982e-11,3.0898095191907513e-13,2.8421709430404007e-14,9.8623331723501906e-12,true,2.8421709430404007e-14,5.5706550483591855e-12,8.9658205577714946e-14,INCONSISTENT,true,0.11575219638620499
415,0.33499999999999996,100,-1.2,0.29999999999999999,1,3,9,3,-7.2325771361364897,3.4190390418706382,2.5091040356528538e-14,3.652189661806915e-12,4.4577943038527653e-14,3.3306690738754696e-15,3.907985046680551e-12,3.8232960353267637e-13,2.8421709430404007e-14,7.560174708487466e-12,true,0,1.3926637620897964e-12,4.601499891555434e-14,INCONSISTENT,true,0.1154712076575609
416,0.33499999999999996,100,2,-1.5,2.5,7.5,22.5,3,-0.1474787431082491,-0.1350926361102302,2.5091040356528538e-14,5.8975047068088315e-12,1.4615073053007951e-13,2.5091040356528538e-14,9.0523144535836764e-12,4.473677265670367e-14,0,3.1548097467748448e-12,true,0,9.9475983006414026e-14,2.2806795251599309e-14,INCONSISTENT,true,0.11513224618743408
417,0.33499999999999996,100,0.40000000000000002,0.69999999999999996,0.34999999999999998,2.0999999999999996,12.6,6,0.71650236684420454,-0.22164015499600465,3.1752378504279477e-14,5.4853899200679734e-12,4.3611561476185964e-14,3.1752378504279477e-14,7.489120434911456e-12,4.4734583497136139e-14,0,2.0037305148434825e-12,true,5.6843418860808015e-14,9.1091578724444844e-12,1.0407793222300834e-13,INCONSISTENT,true,0.13363242599114139
418,0.33499999999999996,100,-1.2,0.29999999999999999,1,6,36,6,1.1339903035639434,2.2280184001535885,2.5091040356528538e-14,2.6005864128819667e-12,3.1747914006926748e-14,2.5091040356528538e-14,3.4390268410788849e-12,1.0486243070376534e-13,0,8.3844042819691822e-13,true,5.6843418860808015e-14,1.2349232747510541e-11,2.2957745901254478e-14,INCONSISTENT,true,0.13330803296313035
419,0.33499999999999996,100,2,-1.5,2.5,15,90,6,-7.2325771361364897,3.4190390418706382,3.1752378504279477e-14,8.9102059064316563e-12,2.1969100392833229e-13,2.5091040356528538e-14,2.4868995751603507e-12,4.9621122178445741e-13,5.6843418860808015e-14,1.1397105481592007e-11,true,5.6843418860808015e-14,1.6612489162071142e-11,2.4291980969442157e-14,INCONSISTENT,true,0.13291671215029194
420,0.38249999999999995,0.01,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.4375,0.546875,1.25,-0.1474787431082491,-0.1350926361102302,3.5638159090467525e-14,8.4654505627668186e-16,5.2578203813194251e-14,3.5638159090467525e-14,3.6255720647915268e-16,1.0637251932849991e-14,0,4.8398784979752918e-16,true,5.6843418860808015e-14,5.134781488891349e-16,5.115971681465836e-15,INCONSISTENT,true,0.0015407159763328321
421,0.38249999999999995,0.01,-1.2,0.29999999999999999,1,1.25,1.5625,1.25,0.71650236684420454,-0.22164015499600465,3.5638159090467525e-14,2.0122792321330962e-16,6.8556091977165288e-14,3.5638159090467525e-14,1.0460382560140147e-15,5.1040473541286761e-14,0,8.4481033280070505e-16,true,5.6843418860808015e-14,1.2004286453759505e-15,3.100960136768278e-15,INCONSISTENT,true,0.0010355631972754466
422,0.38249999999999995,0.01,2,-1.5,2.5,3.125,3.90625,1.25,1.1339903035639434,2.2280184001535885,3.5638159090467525e-14,8.4134088584875144e-16,1.610679178469468e-13,2.120525977034049e-14,1.6115581091824538e-15,2.3923675565535508e-13,5.6843418860808015e-14,2.4528989950312052e-15,true,5.6843418860808015e-14,9.280770596475918e-16,3.1113368584865739e-15,INCONSISTENT,true,0.00073126074282133522
423,0.38249999999999995,0.01,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.61249999999999993,1.0718749999999999,1.75,-7.2325771361364897,3.4190390418706382,2.120525977034049e-14,5.5337678883660146e-16,3.2556805121652004e-14,2.120525977034049e-14,2.6194324487249787e-16,2.5754762194559256e-13,0,2.9143354396410359e-16,true,0,2.1337098754514727e-16,1.3559219871560042e-15,INCONSISTENT,true,0.0016510370860931237
424,0.38249999999999995,0.01,-1.2,0.29999999999999999,1,1.75,3.0625,1.75,-0.1474787431082491,-0.1350926361102302,2.120525977034049e-14,2.9490299091605721e-16,4.1038662384734168e-14,2.120525977034049e-14,5.6898930012039273e-16,8.2264852593819576e-15,0,2.7408630920433552e-16,true,0,7.2858385991025898e-17,1.3322676295501878e-15,INCONSISTENT,true,0.0011097134513805161
425,0.38249999999999995,0.01,2,-1.5,2.5,4.375,7.65625,1.75,0.71650236684420454,-0.22164015499600465,2.120525977034049e-14,1.5439038936193583e-16,9.5602258088902997e-14,2.120525977034049e-14,2.6367796834847468e-16,7.1629607226090787e-14,0,4.1806835771041051e-16,true,0,3.0531133177191805e-16,1.786913141873642e-15,INCONSISTENT,true,0.00078362178658956819
426,0.38249999999999995,0.01,0.40000000000000002,0.69999999999999996,0.34999999999999998,1.0499999999999998,3.1499999999999999,3,1.1339903035639434,2.2280184001535885,2.120525977034049e-14,1.2663481374630692e-16,3.2094663932560198e-14,2.120525977034049e-14,6.2450045135165055e-17,7.9664207662557211e-14,0,6.4184768611141862e-17,true,0,4.2500725161431774e-16,4.6095730857564053e-16,INCONSISTENT,true,0.0018601977025183966
427,0.38249999999999995,0.01,-1.2,0.29999999999999999,1,3,9,3,-7.2325771361364897,3.4190390418706382,2.120525977034049e-14,1.3704315460216776e-16,4.065967313934373e-14,2.120525977034049e-14,4.2674197509029455e-16,3.2364934002678278e-13,0,2.8969882048812678e-16,true,0,4.0766001685454967e-16,1.1868343476355482e-15,INCONSISTENT,true,0.001250296816529902
428,0.38249999999999995,0.01,2,-1.5,2.5,7.5,22.5,3,-0.1474787431082491,-0.1350926361102302,2.120525977034049e-14,2.6541269182445149e-16,9.5342757596411197e-14,2.120525977034049e-14,1.5144135945277526e-15,1.90910144972898e-14,0,1.2490009027033011e-15,true,0,2.6194324487249787e-16,4.528476956708604e-16,INCONSISTENT,true,0.00088289443001618158
429,0.38249999999999995,0.01,0.40000000000000002,0.69999999999999996,0.34999999999999998,2.0999999999999996,12.6,6,0.71650236684420454,-0.22164015499600465,2.120525977034049e-14,2.3765711620882257e-16,3.1744225470311572e-14,2.120525977034049e-14,6.7654215563095477e-17,2.4030174034111608e-14,0,3.0531133177191805e-16,true,2.8421709430404007e-14,5.9327542878406803e-16,2.0278961694048589e-15,INCONSISTENT,true,0.0022010468493151021
430,0.38249999999999995,0.01,-1.2,0.29999999999999999,1,6,36,6,1.1339903035639434,2.2280184001535885,2.120525977034049e-14,3.6429192995512949e-17,4.0714808929880965e-14,2.120525977034049e-14,2.4980018054066022e-16,1.0235750533041807e-13,0,2.8622937353617317e-16,true,2.8421709430404007e-14,4.5796699765787707e-16,1.3485343902845191e-15,INCONSISTENT,true,0.0014793921447177666
431,0.38249999999999995,0.01,2,-1.5,2.5,15,90,6,-7.2325771361364897,3.4190390418706382,2.120525977034049e-14,1.7347234759768071e-18,9.5515320074221603e-14,2.120525977034049e-14,1.7347234759768071e-18,7.6613716528177112e-13,0,0,true,2.8421709430404007e-14,4.8572257327350599e-16,9.6456034656377335e-16,INCONSISTENT,true,0.0010446696073369761
432,0.38249999999999995,0.10000000000000001,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.4375,0.546875,1.25,-0.1474787431082491,-0.1350926361102302,2.120525977034049e-14,4.4131365228849972e-15,3.3073653844922085e-14,2.120525977034049e-14,2.4147350785597155e-15,6.2132864651086122e-15,0,1.9984014443252818e-15,true,0,2.9837243786801082e-15,4.7365594957849591e-15,INCONSISTENT,true,0.013776434234794533
433,0.38249999999999995,0.10000000000000001,-1.2,0.29999999999999999,1,1.25,1.5625,1.25,0.71650236684420454,-0.22164015499600465,2.120525977034049e-14,3.4139358007223564e-15,3.5997986467761663e-14,2.120525977034049e-14,7.8270723236073536e-15,2.5379283098639077e-14,0,4.4131365228849972e-15,true,0,1.9706458687096529e-15,7.3485690968377978e-15,INCONSISTENT,true,0.0095986077706461167
434,0.38249999999999995,0.10000000000000001,2,-1.5,2.5,3.125,3.90625,1.25,1.1339903035639434,2.2280184001535885,2.120525977034049e-14,2.0816681711721685e-15,9.0389337841218973e-14,2.120525977034049e-14,9.4368957093138306e-16,2.2643368068833303e-13,0,1.1379786002407855e-15,true,0,7.9103390504542404e-16,7.7932951227926516e-16,INCONSISTENT,true,0.0069288831461280353
435,0.38249999999999995,0.10000000000000001,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.61249999999999993,1.0718749999999999,1.75,-7.2325771361364897,3.4190390418706382,2.120525977034049e-14,1.429412144204889e-15,3.0042766336301891e-14,2.120525977034049e-14,6.2450045135165055e-16,2.343747859181101e-13,0,8.0491169285323849e-16,true,0,6.3837823915946501e-16,4.4408920985006262e-16,INCONSISTENT,true,0.014762879197234827
436,0.38249999999999995,0.10000000000000001,-1.2,0.29999999999999999,1,1.75,3.0625,1.75,-0.1474787431082491,-0.1350926361102302,2.120525977034049e-14,1.8457457784393227e-15,3.6944954496474435e-14,2.120525977034049e-14,3.9968028886505635e-15,7.1515190855628492e-15,0,2.1510571102112408e-15,true,0,4.5796699765787707e-16,2.1532317954540775e-16,INCONSISTENT,true,0.010285904506529726
437,0.38249999999999995,0.10000000000000001,2,-1.5,2.5,4.375,7.65625,1.75,0.71650236684420454,-0.22164015499600465,2.120525977034049e-14,1.6514567491299204e-15,9.0324950578574966e-14,2.120525977034049e-14,2.4980018054066022e-15,6.7747988618129113e-14,0,8.4654505627668186e-16,true,0,1.5265566588595902e-15,1.1178748198033548e-15,INCONSISTENT,true,0.007425017469295434
438,0.38249999999999995,0.10000000000000001,0.40000000000000002,0.69999999999999996,0.34999999999999998,1.0499999999999998,3.1499999999999999,3,1.1339903035639434,2.2280184001535885,2.120525977034049e-14,6.5225602696727947e-16,2.9222495715687758e-14,2.120525977034049e-14,7.7715611723760958e-16,7.3519568899406938e-14,0,1.2490009027033011e-16,true,0,1.8041124150158794e-15,1.1255863342995659e-15,INCONSISTENT,true,0.016633105456297159
439,0.38249999999999995,0.10000000000000001,-1.2,0.29999999999999999,1,3,9,3,-7.2325771361364897,3.4190390418706382,2.120525977034049e-14,2.4286128663675299e-15,3.6513722995899576e-14,2.120525977034049e-14,3.5804692544161298e-15,2.8692424796253241e-13,0,1.1518563880485999e-15,true,0,8.6042284408449632e-16,7.8721970472447283e-16,INCONSISTENT,true,0.01158896798414063
