order,segment,frequency,time_since_switch,absolute_time,actual_error,theory_bound,bound_utilization,implicit_oracle_error,pece_oracle_error,pass
0.7,2,2.3,20.0,60.0,0.010510027028707456,0.26626586065314906,0.039471928556392484,8.234181614070469e-05,0.0003439832676020979,1
0.7,2,2.3,demodulated_last_half,60.0,0.0008459608471751774,0.4597853154943924,0.0018399040131708924,nan,nan,1
0.9,0,0.8,1.0,1.0,0.5521772908265329,1.0780860228451292,0.5121829604740689,2.3052887035466156e-05,6.87862140491418e-05,1
0.9,0,0.8,2.0,2.0,0.2959918377674457,0.6211398076247131,0.4765301372316508,2.642292383374506e-05,7.918610075947693e-05,1
0.9,0,0.8,5.0,5.0,0.06870747990501001,0.1840126067103739,0.37338463452752424,1.7236032786230544e-05,6.892550581838247e-05,1
0.9,0,0.8,10.0,10.0,0.01680744713990412,0.06288307324576034,0.26728094338228453,1.6838423653749025e-05,7.31309214409504e-05,1
0.9,0,0.8,20.0,20.0,0.00556479577708016,0.026549799461098308,0.2095984109120633,1.653585914828888e-05,7.280976262901471e-05,1
0.9,0,0.8,demodulated_last_half,20.0,0.002294735128550903,0.06288307324576034,0.036492095727932904,nan,nan,1
0.9,1,1.4,1.0,21.0,0.17537159563699972,1.9768425310289208,0.08871298188112185,4.809119643138351e-05,0.00011497953065675447,1
0.9,1,1.4,2.0,22.0,0.09306211048250045,1.1389588246280846,0.08170805517301201,4.7102256769279305e-05,0.00012155156278430237,1
0.9,1,1.4,5.0,25.0,0.020045708579455018,0.3374164393955981,0.05940940108123413,4.294940716813132e-05,0.00011138234763053426,1
0.9,1,1.4,10.0,30.0,0.005391044159489953,0.11530613609660297,0.04675418275202076,4.2815812532352933e-05,0.00011333039183352862,1
0.9,1,1.4,20.0,40.0,0.0027619055275874597,0.048683288395185396,0.05673210702546959,4.271546093532086e-05,0.0001135960091977595,1
0.9,1,1.4,demodulated_last_half,40.0,0.0005011704094587745,0.11530613609660297,0.004346433125110499,nan,nan,1
0.9,2,2.3,1.0,41.0,0.11812774294442083,1.9768425310289208,0.05975576763968998,0.00010378666890261541,0.00017017325907525354,1
0.9,2,2.3,2.0,42.0,0.060294737377152574,1.1389588246280846,0.05293846983172654,8.311957004453134e-05,0.000158996038866856,1
0.9,2,2.3,5.0,45.0,0.010932131635499746,0.3374164393955981,0.03239952284210597,8.558423075530256e-05,0.00015663134386598903,1
0.9,2,2.3,10.0,50.0,0.001572492025106649,0.11530613609660297,0.013637539842539015,8.684743063667952e-05,0.0001572322556205979,1
0.9,2,2.3,20.0,60.0,0.0013949647158269622,0.048683288395185396,0.028653872033116794,8.692131058881231e-05,0.00015699501291521924,1
0.9,2,2.3,demodulated_last_half,60.0,0.00014288052017764715,0.11530613609660297,0.0012391406477964234,nan,nan,1
0.97,0,0.8,1.0,1.0,0.6175095646874295,1.0761259887622405,0.5738264581805042,2.0202192240125637e-05,5.379610318793557e-05,1
0.97,0,0.8,2.0,2.0,0.3133781196578193,0.5608847090921745,0.5587210964710387,2.6603024604456475e-05,6.2686257705532e-05,1
0.97,0,0.8,5.0,5.0,0.048496490387713635,0.1007018141924337,0.48158507149673035,1.836212692932173e-05,5.5752167754739046e-05,1
0.97,0,0.8,10.0,10.0,0.005343641312060357,0.017741226466447737,0.30119909252983545,1.8427013342403986e-05,5.8781595554119846e-05,1
0.97,0,0.8,20.0,20.0,0.001317641138134362,0.006190830929815108,0.21283752586241506,1.8243329770715453e-05,5.869685534783732e-05,1
0.97,0,0.8,demodulated_last_half,20.0,0.0006605516743052706,0.017741226466447737,0.037232582288181035,nan,nan,1
0.97,1,1.4,1.0,21.0,0.20937329310857886,1.9732484961789973,0.10610589265062649,5.080354464963312e-05,9.368550727764066e-05,1
0.97,1,1.4,2.0,22.0,0.10586353191346566,1.028471498972837,0.10293287856707212,5.108606784823588e-05,0.00010101457188336197,1
0.97,1,1.4,5.0,25.0,0.015560149520223242,0.1846528245696142,0.084267053896904,4.596813216968042e-05,9.0275529827009e-05,1
0.97,1,1.4,10.0,30.0,0.0015461473012634275,0.03253136603972834,0.047527893522061854,4.581945179516188e-05,9.211256405209515e-05,1
0.97,1,1.4,20.0,40.0,0.000627226788678593,0.01135187510563422,0.05525314389402369,4.577640948205279e-05,9.22460508949653e-05,1
0.97,1,1.4,demodulated_last_half,40.0,0.00017151089477543413,0.03253136603972834,0.005272170082436119,nan,nan,1
