order,damping,switch_scale,dwell_scale,exact_error,theory_bound,bound_utilization,pass
0.97,4.0,8.0,0.0625,0.46527795470677524,0.4668055136503267,0.9967276330315676,1
0.97,4.0,8.0,0.25,0.38299245614583455,0.3844601093485982,0.9961825605125839,1
0.97,4.0,8.0,1.0,0.18372421897857505,0.18499652085961116,0.9931225631967338,1
0.97,4.0,8.0,4.0,0.015176228808192676,0.016027612993631885,0.9468801632671389,1
0.97,4.0,8.0,16.0,0.0008208191259155421,0.001205707424999932,0.6807780303049791,1
1.0,0.25,0.5,0.0625,5.236173203584114,7.5153045025078065,0.6967346701436833,1
1.0,0.25,0.5,0.25,4.340940053607181,6.230406264571239,0.6967346701436834,1
1.0,0.25,0.5,1.0,2.0505148887778195,2.9430355293715387,0.6967346701436834,1
1.0,0.25,0.5,4.0,0.1020891249569042,0.14652511110987343,0.6967346701436832,1
1.0,0.25,0.5,16.0,6.272572627006781e-07,9.002813977540729e-07,0.6967346701436833,1
1.0,0.25,2.0,0.0625,7.006761570779664,7.5153045025078065,0.9323323583816937,1
1.0,0.25,2.0,0.25,5.808809366323782,6.230406264571239,0.9323323583816937,1
1.0,0.25,2.0,1.0,2.743887255900083,2.9430355293715387,0.9323323583816936,1
1.0,0.25,2.0,4.0,0.136610102403208,0.14652511110987343,0.9323323583816937,1
1.0,0.25,2.0,16.0,8.393614787752224e-07,9.002813977540729e-07,0.9323323583816937,1
1.0,0.25,8.0,0.0625,7.514043950608857,7.5153045025078065,0.9998322686860488,1
1.0,0.25,8.0,0.25,6.2293612303420325,6.230406264571239,0.9998322686860488,1
1.0,0.25,8.0,1.0,2.942541890155192,2.9430355293715387,0.9998322686860488,1
1.0,0.25,8.0,4.0,0.1465005342604601,0.14652511110987343,0.9998322686860487,1
1.0,0.25,8.0,16.0,9.001303923723018e-07,9.002813977540729e-07,0.9998322686860488,1
1.0,1.0,0.5,0.0625,1.3090433008960285,1.8788261256269516,0.6967346701436833,1
1.0,1.0,0.5,0.25,1.0852350134017952,1.5576015661428098,0.6967346701436834,1
1.0,1.0,0.5,1.0,0.5126287221944549,0.7357588823428847,0.6967346701436834,1
1.0,1.0,0.5,4.0,0.02552228123922605,0.03663127777746836,0.6967346701436832,1
1.0,1.0,0.5,16.0,1.5681431567516953e-07,2.2507034943851823e-07,0.6967346701436833,1
1.0,1.0,2.0,0.0625,1.751690392694916,1.8788261256269516,0.9323323583816937,1
1.0,1.0,2.0,0.25,1.4522023415809455,1.5576015661428098,0.9323323583816937,1
1.0,1.0,2.0,1.0,0.6859718139750207,0.7357588823428847,0.9323323583816936,1
1.0,1.0,2.0,4.0,0.034152525600802,0.03663127777746836,0.9323323583816937,1
1.0,1.0,2.0,16.0,2.098403696938056e-07,2.2507034943851823e-07,0.9323323583816937,1
1.0,1.0,8.0,0.0625,1.8785109876522144,1.8788261256269516,0.9998322686860488,1
1.0,1.0,8.0,0.25,1.5573403075855081,1.5576015661428098,0.9998322686860488,1
1.0,1.0,8.0,1.0,0.735635472538798,0.7357588823428847,0.9998322686860488,1
1.0,1.0,8.0,4.0,0.03662513356511503,0.03663127777746836,0.9998322686860487,1
1.0,1.0,8.0,16.0,2.2503259809307545e-07,2.2507034943851823e-07,0.9998322686860488,1
1.0,4.0,0.5,0.0625,0.3272608252240071,0.4697065314067379,0.6967346701436833,1
1.0,4.0,0.5,0.25,0.2713087533504488,0.38940039153570244,0.6967346701436834,1
1.0,4.0,0.5,1.0,0.12815718054861372,0.18393972058572117,0.6967346701436834,1
1.0,4.0,0.5,4.0,0.006380570309806512,0.00915781944436709,0.6967346701436832,1
1.0,4.0,0.5,16.0,3.9203578918792383e-08,5.626758735962956e-08,0.6967346701436833,1
1.0,4.0,2.0,0.0625,0.437922598173729,0.4697065314067379,0.9323323583816937,1
1.0,4.0,2.0,0.25,0.3630505853952364,0.38940039153570244,0.9323323583816937,1
1.0,4.0,2.0,1.0,0.17149295349375518,0.18393972058572117,0.9323323583816936,1
1.0,4.0,2.0,4.0,0.0085381314002005,0.00915781944436709,0.9323323583816937,1
1.0,4.0,2.0,16.0,5.24600924234514e-08,5.626758735962956e-08,0.9323323583816937,1
1.0,4.0,8.0,0.0625,0.4696277469130536,0.4697065314067379,0.9998322686860488,1
1.0,4.0,8.0,0.25,0.38933507689637703,0.38940039153570244,0.9998322686860488,1
1.0,4.0,8.0,1.0,0.1839088681346995,0.18393972058572117,0.9998322686860488,1
1.0,4.0,8.0,4.0,0.009156283391278757,0.00915781944436709,0.9998322686860487,1
1.0,4.0,8.0,16.0,5.625814952326886e-08,5.626758735962956e-08,0.9998322686860488,1
