order,damping,morphology_abs,frequencies,relative_error,draws,certifiable,primary_pass_0p02,exploratory_pass_0p05,chain_coverage,disk_true_feasible,max_u_w,max_u_r,max_u_alpha,p95_u_alpha,median_chain_width,median_disk_width_subset
0.5,0.8,1.0198039,0.7-1.0-1.4,0.001,128,128,0,0,1.0,1.0,0.9985591609622346,0.8578368398310909,0.6743595258993792,0.582176608396258,0.18664124554861689,0.19328571091384988
0.5,0.8,1.0198039,0.7-1.0-1.4,0.005,128,128,0,0,1.0,1.0,0.9958758472181007,0.8219900804087491,0.5517471451815646,0.43371960848610513,0.5848331803267683,0.6
0.5,0.8,1.0198039,0.7-1.0-1.4,0.01,128,128,0,0,1.0,1.0,0.9992844573140547,0.7152138778874891,0.32443812872290057,0.30085559742032875,0.6,0.6
0.5,0.8,1.0198039,0.7-1.4-2.6,0.0001,128,128,128,128,1.0,1.0,0.9982934577973652,0.818571522161531,0.7386630129848116,0.5139213293514776,0.0047911987015597235,0.004614077268762062
0.5,0.8,1.0198039,0.7-1.4-2.6,0.001,128,128,0,128,1.0,1.0,0.9970883435304662,0.917955955467949,0.7841095416236433,0.5094908570968384,0.04848165609187163,0.047806573216181675
0.5,0.8,1.0198039,0.7-1.4-2.6,0.005,128,128,0,0,1.0,1.0,0.9976227389605407,0.8131794207011313,0.6976249246354846,0.5176034491789975,0.21584094657696373,0.18780358505308367
0.5,0.8,1.0198039,0.7-1.4-2.6,0.01,128,128,0,0,1.0,1.0,0.9982810332068994,0.8434054101294546,0.5547094389716778,0.3902086627392542,0.3374224836703888,0.35856841080598983
0.5,0.8,1.0198039,0.7-1.9-2.6,0.0001,128,128,128,128,1.0,1.0,0.9994395010337812,0.8740309429237288,0.8081626786040262,0.6259545012234877,0.007181751107691453,0.0069415427434748045
0.5,0.8,1.0198039,0.7-1.9-2.6,0.001,128,128,0,128,1.0,1.0,0.9994408876127375,0.916133113543201,0.8330389284060374,0.5545036649164935,0.07179280348445882,0.07202401340466677
0.5,0.8,1.0198039,0.7-1.9-2.6,0.005,128,128,0,0,1.0,1.0,0.9976596407478325,0.8765214951434107,0.6923439517678376,0.5145528001276424,0.27143627944678883,0.21674360105458595
0.5,0.8,1.0198039,0.7-1.9-2.6,0.01,128,128,0,0,1.0,1.0,0.9986039425260776,0.7956357963492119,0.6268877419025461,0.46803527015120683,0.4445757087747551,0.33018469087822316
0.5,0.8,1.0198039,1.0-1.4-1.9,0.0001,128,128,128,128,1.0,1.0,0.9972066133516548,0.9056114549640332,0.8743705680755341,0.5547600296525442,0.021742978074598684,0.020945156682781935
0.5,0.8,1.0198039,1.0-1.4-1.9,0.001,128,128,0,0,1.0,1.0,0.99876004136537,0.8557228015316882,0.7336165128941343,0.6045544785317193,0.2008302760530566,0.18597346493246697
0.5,0.8,1.0198039,1.0-1.4-1.9,0.005,128,128,0,0,1.0,1.0,0.9972715021246373,0.6569626939511405,0.581328674735042,0.4320995581257309,0.6,0.49689936544668084
0.5,0.8,1.0198039,1.0-1.4-1.9,0.01,128,128,0,0,1.0,1.0,0.995691451974795,0.864738416918182,0.299415550454214,0.2893942307790756,0.6,0.5941259249610082
0.5,0.8,1.25299641,0.7-1.0-1.4,0.0001,128,128,128,128,1.0,1.0,0.9996327845515799,0.798903514109827,0.7074321528185075,0.5822058399244434,0.019792898887317334,0.020160549580880677
0.5,0.8,1.25299641,0.7-1.0-1.4,0.001,128,128,0,0,1.0,1.0,0.9975812698615664,0.8148181588691754,0.7122085535227292,0.5955115519338587,0.19372332849234236,0.1975356891447081
0.5,0.8,1.25299641,0.7-1.0-1.4,0.005,128,128,0,0,1.0,1.0,0.9892279946092,0.7029969317963832,0.6222679478913997,0.4074393408197538,0.5913664284837068,0.5376705460043882
0.5,0.8,1.25299641,0.7-1.0-1.4,0.01,128,128,0,0,1.0,1.0,0.9964880514458188,0.8026021925640577,0.3492276941877065,0.31459581833829237,0.6,0.6
0.5,0.8,1.25299641,0.7-1.4-2.6,0.0001,128,128,128,128,1.0,1.0,0.9987815321927975,0.8300833178113103,0.7589409305914812,0.5503493903938751,0.004840414092677714,0.004562107545045629
0.5,0.8,1.25299641,0.7-1.4-2.6,0.001,128,128,0,128,1.0,1.0,0.9996441384261148,0.859302084674264,0.789063729686045,0.5739521559560976,0.04815296681267697,0.04829914668309959
0.5,0.8,1.25299641,0.7-1.4-2.6,0.005,128,128,0,0,1.0,1.0,0.9969790051702767,0.7346041794241523,0.6338068437978682,0.5301257370344219,0.22084426725923545,0.23228529098333342
0.5,0.8,1.25299641,0.7-1.4-2.6,0.01,128,128,0,0,1.0,1.0,0.9976236620351101,0.827352852046747,0.48636693081729215,0.4313730194691388,0.3303334355128752,0.34959882654438584
0.5,0.8,1.25299641,0.7-1.9-2.6,0.0001,128,128,128,128,1.0,1.0,0.9998793419926535,0.874900051998167,0.6914809668129998,0.5802935213213387,0.007145826651049014,0.007066229990746631
0.5,0.8,1.25299641,0.7-1.9-2.6,0.001,128,128,0,128,1.0,1.0,0.9990735764704646,0.9077345635437796,0.838523501294604,0.6446246302579841,0.07208032152593669,0.0723332185519045
