relative_error,phase1,phase2,phase3,u_r,u_alpha,chain_contains
0.005,1.5707963267948966,4.71238898038469,1.5707963267948966,0.9234056509216022,0.4908478956811012,1
0.005,1.5707963267948966,4.71238898038469,3.141592653589793,0.476192261323873,0.328637609617595,1
0.005,1.5707963267948966,4.71238898038469,4.71238898038469,0.2814631867640068,0.056255643914851314,1
0.005,3.141592653589793,0.0,0.0,0.277953239725525,0.18484135365794752,1
0.005,3.141592653589793,0.0,1.5707963267948966,0.837394900336787,0.48817611241493414,1
0.005,3.141592653589793,0.0,3.141592653589793,0.9254469255757994,0.3898972185327789,1
0.005,3.141592653589793,0.0,4.71238898038469,0.48104338805500396,0.010223516891504381,1
0.005,3.141592653589793,1.5707963267948966,0.0,0.3526651424631463,0.23927332921376052,1
0.005,3.141592653589793,1.5707963267948966,1.5707963267948966,0.2763635174604244,0.15080162022565022,1
0.005,3.141592653589793,1.5707963267948966,3.141592653589793,0.7309849079258225,0.028476707579322497,1
0.005,3.141592653589793,1.5707963267948966,4.71238898038469,0.7664902365184778,0.4202602667100755,1
0.005,3.141592653589793,3.141592653589793,0.0,0.7720703412105041,0.2384861874933413,1
0.005,3.141592653589793,3.141592653589793,1.5707963267948966,0.49096522095155365,0.15406306382877316,1
0.005,3.141592653589793,3.141592653589793,3.141592653589793,0.12510162518388968,0.02146183977507686,1
0.005,3.141592653589793,3.141592653589793,4.71238898038469,0.608098865927124,0.41567502190770195,1
0.005,3.141592653589793,4.71238898038469,0.0,0.7364698532533702,0.18462883396068064,1
0.005,3.141592653589793,4.71238898038469,1.5707963267948966,0.9291115689511052,0.48905099206433567,1
0.005,3.141592653589793,4.71238898038469,3.141592653589793,0.5872896395205829,0.3958371838181435,1
0.005,3.141592653589793,4.71238898038469,4.71238898038469,0.13021698078817395,0.01373306678956826,1
0.005,4.71238898038469,0.0,0.0,0.12816689699944167,0.08789627388367084,1
0.005,4.71238898038469,0.0,1.5707963267948966,0.7334688315162692,0.46880557000465845,1
0.005,4.71238898038469,0.0,3.141592653589793,0.9338270904048424,0.2931036743240216,1
0.005,4.71238898038469,0.0,4.71238898038469,0.5931194958670379,0.08948296027708424,1
0.005,4.71238898038469,1.5707963267948966,0.0,0.4849414324158139,0.33907955065030027,1
0.005,4.71238898038469,1.5707963267948966,1.5707963267948966,0.2780790770011718,0.05392240232547039,1
0.005,4.71238898038469,1.5707963267948966,3.141592653589793,0.847941829276474,0.12813273089413213,1
0.005,4.71238898038469,1.5707963267948966,4.71238898038469,0.9404653403571653,0.5228668190434076,1
0.005,4.71238898038469,3.141592653589793,0.0,0.7664129592817168,0.33661313782002833,1
0.005,4.71238898038469,3.141592653589793,1.5707963267948966,0.35117104565830054,0.058829606930351205,1
