order,damping,harmonic,triple,nu1,nu2,nu3,common_factor_abs,common_factor_phase,order_error,damping_error,morphology_error,invariant_imag_abs,pass
0.97,0.2,1,0-3-4,0.7,1.9,2.6,3.2,0.63,1.4721557306529576e-13,4.4853010194856324e-14,9.65230528223689e-13,1.2020701036683608e-16,1
0.97,0.2,1,1-2-3,1.0,1.4,1.9,1.0,0.0,1.4721557306529576e-13,4.427014310692812e-14,2.976081988666644e-13,3.557978365513335e-16,1
0.97,0.2,1,1-2-3,1.0,1.4,1.9,3.2,0.63,1.4721557306529576e-13,4.3853809472693683e-14,9.522575425063301e-13,0.0,1
0.97,0.2,1,1-2-4,1.0,1.4,2.6,1.0,0.0,3.352873534367973e-14,1.0325074129013956e-14,6.784771404496752e-14,4.269574038616002e-16,1
0.97,0.2,1,1-2-4,1.0,1.4,2.6,3.2,0.63,3.352873534367973e-14,9.825473767932635e-15,2.1691655534620929e-13,7.202554459234556e-16,1
0.97,0.2,1,1-3-4,1.0,1.9,2.6,1.0,0.0,1.4721557306529576e-13,5.037636974236648e-14,3.142058570399724e-13,1.2717946107995936e-16,1
0.97,0.2,1,1-3-4,1.0,1.9,2.6,3.2,0.63,1.4721557306529576e-13,5.029310301551959e-14,1.0064488123753517e-12,3.2181793297397864e-16,1
0.97,0.2,1,2-3-4,1.4,1.9,2.6,1.0,0.0,1.4721557306529576e-13,5.6066262743570405e-14,3.2865151942291773e-13,4.598045940722767e-16,1
0.97,0.2,1,2-3-4,1.4,1.9,2.6,3.2,0.63,1.4721557306529576e-13,5.642708522657358e-14,1.053211186632639e-12,5.817502400928037e-16,1
0.97,0.2,2,0-1-2,1.4,2.0,2.8,1.0,0.0,1.4721557306529576e-13,5.737077479750496e-14,3.3529289072031427e-13,6.460025011928031e-16,1
0.97,0.2,2,0-1-2,1.4,2.0,2.8,3.2,0.63,1.4721557306529576e-13,5.734301922188934e-14,1.074816721021369e-12,4.095345797977869e-16,1
0.97,0.2,2,0-1-3,1.4,2.0,3.8,1.0,0.0,3.352873534367973e-14,1.2906342661267445e-14,7.610698276993708e-14,5.537164295938312e-16,1
0.97,0.2,2,0-1-3,1.4,2.0,3.8,3.2,0.63,3.352873534367973e-14,1.2878587085651816e-14,2.453850080981444e-13,1.0920922127940983e-15,1
0.97,0.2,2,0-1-4,1.4,2.0,5.2,1.0,0.0,2.3314683517128287e-14,9.159339953157541e-15,5.344222026967698e-14,3.691442863958875e-16,1
0.97,0.2,2,0-1-4,1.4,2.0,5.2,3.2,0.63,2.3314683517128287e-14,9.298117831235686e-15,1.6843806712341984e-13,1.6381383191911475e-15,1
0.97,0.2,2,0-2-3,1.4,2.8,3.8,1.0,0.0,1.4721557306529576e-13,6.475375791126226e-14,3.571895511901704e-13,2.3871331480640933e-16,1
0.97,0.2,2,0-2-3,1.4,2.8,3.8,3.2,0.63,1.4721557306529576e-13,6.533662499919046e-14,1.143454368620053e-12,2.3540655311742806e-16,1
0.97,0.2,2,0-2-4,1.4,2.8,5.2,1.0,0.0,8.01581023779363e-14,3.59989815734707e-14,1.9448147838925274e-13,9.548532592256373e-16,1
0.97,0.2,2,0-2-4,1.4,2.8,5.2,3.2,0.63,8.01581023779363e-14,3.547162563677375e-14,6.222044837654814e-13,2.3540655311742806e-16,1
0.97,0.2,2,0-3-4,1.4,3.8,5.2,1.0,0.0,1.4721557306529576e-13,7.260858581048524e-14,3.7970361091243346e-13,3.73500492232807e-16,1
0.97,0.2,2,0-3-4,1.4,3.8,5.2,3.2,0.63,1.4721557306529576e-13,7.283063041541027e-14,1.2149071690087842e-12,0.0,1
0.97,0.2,2,1-2-3,2.0,2.8,3.8,1.0,0.0,1.4721557306529576e-13,7.138734048339757e-14,3.7441675239370683e-13,6.993554357936736e-16,1
0.97,0.2,2,1-2-3,2.0,2.8,3.8,3.2,0.63,1.4721557306529576e-13,7.271960811294775e-14,1.1978503837957768e-12,2.0690029713378832e-16,1
0.97,0.2,2,1-2-4,2.0,2.8,5.2,1.0,0.0,3.352873534367973e-14,1.5515366769136563e-14,8.563773146340382e-14,2.2379373945397556e-15,1
0.97,0.2,2,1-2-4,2.0,2.8,5.2,3.2,0.63,3.352873534367973e-14,1.6764367671839864e-14,2.7302142686884086e-13,4.1380059426757665e-16,1
0.97,0.2,2,1-3-4,2.0,3.8,5.2,1.0,0.0,1.4721557306529576e-13,7.965850201685498e-14,3.954850819945718e-13,3.7497549854303436e-16,1
