order,damping,morphology_abs,frequencies,relative_error,draw,u_w,u_r,u_alpha,alpha_error,alpha_bound,chain_contains,disk_residual
0.5,1.5,1.252996408614167,0.7-1.4-2.6,0.01,27,0.8592127298101971,0.5739283800317824,0.4970929036891953,0.24489312684772835,0.4926506192911707,1,-0.02229519004569231
0.5,1.5,1.252996408614167,0.7-1.9-2.6,0.0001,92,0.9669063607105254,0.860037812379574,0.779828007927191,0.004033457731748236,0.005172240148785245,1,-7.867821568476345e-05
0.5,1.5,1.252996408614167,0.7-1.9-2.6,0.001,52,0.9123808941790691,0.7401227041235476,0.6867013249430712,0.03617791813794602,0.05268362943808975,1,-0.0014140209936128953
0.5,1.5,1.252996408614167,0.7-1.9-2.6,0.005,65,0.9891243948876369,0.5793352586099948,0.51239856561603,0.14492288160654443,0.28283233274142994,1,-0.010745595524347912
0.5,1.5,1.252996408614167,0.7-1.9-2.6,0.01,58,0.9440626024540979,0.7328117090735022,0.5988738824152992,0.3829136821135761,0.6393895164859406,1,-0.0081073181879448
0.5,1.5,1.252996408614167,1.0-1.4-1.9,0.0001,111,0.9405589880742348,0.7746970654144266,0.7156070450403151,0.011326565371928055,0.01582791205093565,1,-0.00017209926600795936
0.5,1.5,1.252996408614167,1.0-1.4-1.9,0.001,14,0.9099067019588705,0.7750739525833652,0.6384465851681485,0.09999999999999998,0.15663017443137056,1,-0.0016820904745150841
0.5,1.5,1.252996408614167,1.0-1.4-1.9,0.005,102,0.876198670667837,0.5335073691865426,0.4595584638893198,0.5,1.0880008514442683,1,-0.012709528067970984
0.5,1.5,1.252996408614167,1.0-1.4-1.9,0.01,26,0.9525560564400533,0.5245360049987858,0.20167633960696857,0.5,2.479219927208176,1,-0.016637568319311097
0.7,0.3,1.019803902718557,0.7-1.0-1.4,0.0001,30,0.9982086132383156,0.8711802838199993,0.6289631858141799,0.003266129349867697,0.005192878412493666,1,-5.377240613068258e-05
0.7,0.3,1.019803902718557,0.7-1.0-1.4,0.001,67,0.9833192127667415,0.7169818314035654,0.6499692212326509,0.03364575985660867,0.0517651586528979,1,-0.0011838239657166899
0.7,0.3,1.019803902718557,0.7-1.0-1.4,0.005,113,0.9890546773214359,0.7004745661216809,0.6465785818347255,0.16624267921033598,0.2571113301319188,1,-0.006101452971789422
