record,role,model,split,harmonic,count_complex,sse_mV2,rmse_mV,mae_mV,nrmse_energy,r2_centered
f1y01,engineering_calibration,rate_shuffle_negative_control,identification,all,429,1.199905266413158,0.052886500857884745,0.04548190562702024,0.6573026129765275,0.0037527631247025184
f1y01,engineering_calibration,rate_shuffle_negative_control,identification,1,143,0.5902379168059039,0.06424591722250968,0.05615403618512026,0.5401739434439151,0.004939147466035965
f1y01,engineering_calibration,rate_shuffle_negative_control,identification,2,143,0.14256888806281834,0.03157507294066824,0.02877731577110776,0.8318617165929658,0.003486944258710545
f1y01,engineering_calibration,rate_shuffle_negative_control,identification,3,143,0.4670984615444358,0.05715262730621443,0.0515143649248327,0.9229020110389186,0.002330915076276363
f1y01,engineering_calibration,rate_shuffle_negative_control,validation,all,1134,3.6441745298926933,0.05668825086824865,0.04725680076917601,0.7236905303966096,-0.018980311313858023
f1y01,engineering_calibration,rate_shuffle_negative_control,validation,1,378,2.4725555965285193,0.0808773909802274,0.07278177935544705,0.6627317396953729,-0.009769342398204817
f1y01,engineering_calibration,rate_shuffle_negative_control,validation,2,378,0.32955963265543087,0.029527121093002318,0.02676805051043402,0.9220930127880949,-0.07347593349342496
f1y01,engineering_calibration,rate_shuffle_negative_control,validation,3,378,0.842059300708743,0.047198200259068006,0.04222057244164698,0.9459511712134813,-0.026077057513219426
f1o01,engineering_calibration,fractional_common,identification,all,339,0.1375015254418188,0.02013974229210458,0.017344744401802704,0.6538671136336993,0.004714385272963084
f1o01,engineering_calibration,fractional_common,identification,1,113,0.024083613734448346,0.014598949451368536,0.012058318159994672,0.44180406221395907,0.010849439616348322
f1o01,engineering_calibration,fractional_common,identification,2,113,0.020977217400513618,0.013624943744468947,0.012533421707857104,0.6742851931086087,0.004382313931192261
f1o01,engineering_calibration,fractional_common,identification,3,113,0.09244069430685682,0.02860173494132131,0.02744249333755633,0.7796269851508246,0.0031790691474333777
f1o01,engineering_calibration,fractional_common,validation,all,948,0.41215734930789,0.020851022430584256,0.017664259164186024,0.6845284645213282,-0.0013684216582798836
f1o01,engineering_calibration,fractional_common,validation,1,316,0.09194933501882613,0.017058103888985564,0.014038704328799374,0.49373724017207987,0.025305526844540127
f1o01,engineering_calibration,fractional_common,validation,2,316,0.06341741967784789,0.014166440518182923,0.012273847484753363,0.7466540793471296,-0.030494918079152056
f1o01,engineering_calibration,fractional_common,validation,3,316,0.256790594611216,0.02850663894533244,0.02668022567900534,0.8128521591835085,-0.004199141835774967
